
=== Feature slice: workclass ===
                   feature  value  precision   recall    fbeta    n
               workclass_?    0.0   0.734342 0.608564 0.665563 9383
               workclass_?    1.0   0.575000 0.534884 0.554217  386
     workclass_Federal-gov    0.0   0.728013 0.598661 0.657031 9469
     workclass_Federal-gov    1.0   0.780702 0.773913 0.777293  300
       workclass_Local-gov    0.0   0.727273 0.602866 0.659252 9142
       workclass_Local-gov    1.0   0.773006 0.656250 0.709859  627
    workclass_Never-worked    0.0   0.731084 0.607219 0.663419 9768
    workclass_Never-worked    1.0   1.000000 1.000000 1.000000    1
         workclass_Private    1.0   0.715088 0.607776 0.657080 6729
         workclass_Private    0.0   0.759155 0.606299 0.674171 3040
    workclass_Self-emp-inc    0.0   0.723794 0.596708 0.654135 9452
    workclass_Self-emp-inc    1.0   0.816993 0.744048 0.778816  317
workclass_Self-emp-not-inc    0.0   0.728075 0.629471 0.675192 8941
workclass_Self-emp-not-inc    1.0   0.769231 0.426357 0.548628  828
       workclass_State-gov    0.0   0.732869 0.607365 0.664241 9383
       workclass_State-gov    1.0   0.693182 0.603960 0.645503  386
     workclass_Without-pay    0.0   0.731084 0.607219 0.663419 9765
     workclass_Without-pay    1.0   1.000000 1.000000 1.000000    4
             workclass_nan    0.0   0.731895 0.608195 0.664336 9578
             workclass_nan    1.0   0.555556 0.416667 0.476190  191

=== Feature slice: education ===
               feature  value  precision   recall    fbeta    n
        education_10th    0.0   0.730769 0.608974 0.664336 9536
        education_10th    1.0   0.833333 0.333333 0.476190  233
        education_11th    0.0   0.730809 0.611040 0.665579 9397
        education_11th    1.0   1.000000 0.111111 0.200000  372
        education_12th    0.0   0.730907 0.608102 0.663873 9639
        education_12th    1.0   0.800000 0.400000 0.533333  130
     education_1st-4th    0.0   0.731084 0.607477 0.663573 9711
     education_1st-4th    1.0   1.000000 0.000000 0.000000   58
     education_5th-6th    0.0   0.730809 0.607401 0.663415 9666
     education_5th-6th    1.0   1.000000 0.500000 0.666667  103
     education_7th-8th    0.0   0.730907 0.607843 0.663719 9553
     education_7th-8th    1.0   0.800000 0.444444 0.571429  216
         education_9th    0.0   0.731695 0.608603 0.664497 9622
         education_9th    1.0   0.333333 0.142857 0.200000  147
  education_Assoc-acdm    0.0   0.731849 0.605436 0.662668 9437
  education_Assoc-acdm    1.0   0.710145 0.662162 0.685315  332
   education_Assoc-voc    0.0   0.730218 0.612472 0.666182 9336
   education_Assoc-voc    1.0   0.753425 0.500000 0.601093  433
   education_Bachelors    0.0   0.713090 0.555753 0.624667 8165
   education_Bachelors    1.0   0.767913 0.736921 0.752098 1604
   education_Doctorate    0.0   0.728004 0.597797 0.656507 9648
   education_Doctorate    1.0   0.793478 0.858824 0.824859  121
     education_HS-grad    1.0   0.580060 0.389452 0.466019 3123
     education_HS-grad    0.0   0.761846 0.664876 0.710066 6646
     education_Masters    0.0   0.722689 0.580801 0.644022 9256
     education_Masters    1.0   0.779310 0.801418 0.790210  513
   education_Preschool    0.0   0.731458 0.607219 0.663573 9750
   education_Preschool    1.0   0.000000 1.000000 0.000000   19
 education_Prof-school    0.0   0.720637 0.590112 0.648876 9587
 education_Prof-school    1.0   0.873134 0.900000 0.886364  182
education_Some-college    0.0   0.738973 0.641321 0.686693 7586
education_Some-college    1.0   0.687708 0.462054 0.552737 2183

=== Feature slice: marital-status ===
                             feature  value  precision   recall    fbeta    n
             marital-status_Divorced    0.0   0.730403 0.625113 0.673669 8433
             marital-status_Divorced    1.0   0.750000 0.342282 0.470046 1336
    marital-status_Married-AF-spouse    0.0   0.731084 0.607477 0.663573 9761
    marital-status_Married-AF-spouse    1.0   1.000000 0.000000 0.000000    8
   marital-status_Married-civ-spouse    0.0   0.815642 0.376289 0.514991 5299
   marital-status_Married-civ-spouse    1.0   0.722566 0.652771 0.685897 4470
marital-status_Married-spouse-absent    0.0   0.730631 0.608807 0.664179 9628
marital-status_Married-spouse-absent    1.0   0.857143 0.375000 0.521739  141
        marital-status_Never-married    1.0   0.884058 0.374233 0.525862 3203
        marital-status_Never-married    0.0   0.725490 0.624544 0.671243 6566
            marital-status_Separated    0.0   0.730650 0.608770 0.664165 9488
            marital-status_Separated    1.0   0.777778 0.482759 0.595745  281
              marital-status_Widowed    0.0   0.730273 0.609032 0.664165 9439
              marital-status_Widowed    1.0   0.823529 0.466667 0.595745  330

=== Feature slice: occupation ===
                     feature  value  precision   recall    fbeta    n
                occupation_?    0.0   0.734342 0.608564 0.665563 9383
                occupation_?    1.0   0.575000 0.534884 0.554217  386
     occupation_Adm-clerical    0.0   0.734728 0.610984 0.667166 8639
     occupation_Adm-clerical    1.0   0.683453 0.558824 0.614887 1130
     occupation_Armed-Forces    0.0   0.730946 0.607310 0.663417 9766
     occupation_Armed-Forces    1.0   1.000000 0.500000 0.666667    3
     occupation_Craft-repair    0.0   0.749006 0.639360 0.689854 8490
     occupation_Craft-repair    1.0   0.569231 0.380137 0.455852 1279
  occupation_Exec-managerial    0.0   0.709793 0.561334 0.626894 8536
  occupation_Exec-managerial    1.0   0.784560 0.745734 0.764654 1233
  occupation_Farming-fishing    0.0   0.730928 0.611998 0.666197 9460
  occupation_Farming-fishing    1.0   0.750000 0.315789 0.444444  309
occupation_Handlers-cleaners    0.0   0.731996 0.610206 0.665575 9380
occupation_Handlers-cleaners    1.0   0.583333 0.304348 0.400000  389
occupation_Machine-op-inspct    0.0   0.733998 0.613866 0.668578 9164
occupation_Machine-op-inspct    1.0   0.620000 0.407895 0.492063  605
    occupation_Other-service    1.0   0.800000 0.216216 0.340426 1007
    occupation_Other-service    0.0   0.730730 0.613460 0.666979 8762
  occupation_Priv-house-serv    0.0   0.731084 0.607477 0.663573 9714
  occupation_Priv-house-serv    1.0   1.000000 0.000000 0.000000   55
   occupation_Prof-specialty    0.0   0.705679 0.567056 0.628818 8582
